name,r,a,s,body,group
Gastroc_at_condyles_l,-71.42441001809311,-16.48148187888728,297.3785236073536,femur_l,wrap_transl
KnExt_at_fem_l,-73.99900180799341,-18.490399279558915,304.54284886647383,femur_l,wrap_transl
AB_at_femshaft_l,-96.72575817170673,-27.36369855439989,576.448763948416,femur_l,wrap_transl
AL_at_femshaft_l,-85.49762192702474,-11.85642333665237,457.85225998450824,femur_l,wrap_transl
AMprox_at_femshaft_l,-92.05079812142412,-34.916727682502824,617.1982886292681,femur_l,wrap_transl
AMmid_at_femshaft_l,-86.74988973179461,-19.4933262941895,527.9202586967403,femur_l,wrap_transl
AMdist_at_femshaft_l,-79.0390356153548,-9.554530207482458,430.17816025499417,femur_l,wrap_transl
AMisch_at_condyles_l,-76.51641727894275,-47.24000249647361,337.67507579861103,femur_l,wrap_transl
PECT_at_femshaft_l,-101.03590523113326,-34.615807425801904,605.8196347789963,femur_l,wrap_transl
Gastroc_at_condyles_r,83.86036959196986,-16.217552286863793,310.2139967899966,femur_r,wrap_transl
KnExt_at_fem_r,86.13456127033419,-18.051879734834074,317.270314215104,femur_r,wrap_transl
AB_at_femshaft_r,114.44742382100958,-30.779923135770787,580.6223706242436,femur_r,wrap_transl
AL_at_femshaft_r,102.48457983381809,-12.550139620441769,465.0548666370456,femur_r,wrap_transl
AMprox_at_femshaft_r,109.14806008089909,-34.47201084087283,621.2661411854533,femur_r,wrap_transl
AMmid_at_femshaft_r,105.47676164495078,-22.98888565168636,532.8952139828816,femur_r,wrap_transl
AMdist_at_femshaft_r,95.5968481324771,-9.758978526748251,438.5137929389366,femur_r,wrap_transl
AMisch_at_condyles_r,85.82056780265523,-44.25311538987444,348.78287481411553,femur_r,wrap_transl
PECT_at_femshaft_r,117.85447113485498,-35.40711990528689,610.0607226974025,femur_r,wrap_transl
Gmax1_at_pelvis_r,72.77466568210912,-63.12066461625,676.5523946992435,pelvis,wrap_transl
Gmax2_at_pelvis_r,80.04808053911984,-61.05708019199665,694.4104480378373,pelvis,wrap_transl
Gmax3_at_pelvis_r,80.59983989559987,-65.2729699661977,690.0331801854882,pelvis,wrap_transl
Gmax1_at_pelvis_l,-57.45582143705724,-60.58264495101321,674.3414677091096,pelvis,wrap_transl
Gmax2_at_pelvis_l,-64.26430962128416,-59.299436982764746,691.8284758175905,pelvis,wrap_transl
Gmax3_at_pelvis_l,-64.99856956493932,-63.278537294623675,687.449337998798,pelvis,wrap_transl
PS_at_brim_r,75.18232344028729,-50.67419653524121,715.436071715736,pelvis,wrap_transl
PS_at_brim_l,-59.356645176121674,-49.28703895045692,712.8520812277129,pelvis,wrap_transl
IL_at_brim_r,85.53024348045074,-48.72794981784682,710.6041841974657,pelvis,wrap_transl
IL_at_brim_l,-69.8237040310214,-47.47495413586512,707.7936891148674,pelvis,wrap_transl
GasLat_at_shank_l,-73.45470707200047,-26.951530594320502,239.62783393221798,tibia_l,wrap_transl
GasMed_at_shank_l,-73.45470707200047,-26.951530594320502,239.62783393221798,tibia_l,wrap_transl
GR_at_condyles_l,-74.83626262540656,-22.021425715400255,288.6257554227941,tibia_l,wrap_transl
SM_at_condyles_l,-74.61616087548373,-20.121146526333177,288.7401273248179,tibia_l,wrap_transl
ST_at_condyles_l,-74.77086660499026,-21.06560321363213,288.2520707290896,tibia_l,wrap_transl
BF_at_gastroc_l,-81.91229264500589,-74.90446853966569,249.22649452833502,tibia_l,wrap_transl
GasLat_at_shank_r,81.2821539250026,-24.64398205843463,247.42638880204686,tibia_r,wrap_transl
GasMed_at_shank_r,81.2821539250026,-24.64398205843463,247.42638880204686,tibia_r,wrap_transl
GR_at_condyles_r,84.51060603599171,-20.39140169613529,296.47603892718325,tibia_r,wrap_transl
SM_at_condyles_r,84.6618460794266,-18.485666890483117,296.6772023048943,tibia_r,wrap_transl
ST_at_condyles_r,84.61418833075868,-19.428147733400692,296.1237266358621,tibia_r,wrap_transl
BF_at_gastroc_r,80.45740071101864,-73.58833549822157,255.42406643746835,tibia_r,wrap_transl
